t,x
48278,2.6312842778733386e-05
48279,2.6209732708751358e-05
48280,2.6122402588315666e-05
48281,2.6060581383035848e-05
48282,2.6023273317073727e-05
48283,2.598374477309792e-05
48284,2.5933117875713185e-05
48285,2.5883057437756153e-05
48286,2.5840461280483943e-05
48287,2.5799765559510314e-05
48288,2.5751731138949695e-05
48289,2.5690773143686245e-05
48290,2.561924077485215e-05
48291,2.5540600933937756e-05
48292,2.5450676415227163e-05
48293,2.5344314554566737e-05
48294,2.5221488575809453e-05
48295,2.5087400676113906e-05
48296,2.495325221286449e-05
48297,2.4828314377833275e-05
48298,2.4714637217214162e-05
48299,2.4605871535388376e-05
48300,2.4496739205964493e-05
48301,2.43969846760585e-05
48302,2.4313916990254555e-05
48303,2.4239604253344375e-05
48304,2.4164889353545324e-05
48305,2.408321544542901e-05
48306,2.3994260213441287e-05
48307,2.3916081825746028e-05
48308,2.3867682199399622e-05
48309,2.383892185263639e-05
48310,2.3809963056710343e-05
48311,2.377710963321677e-05
48312,2.3740581971176724e-05
48313,2.370323280674371e-05
48314,2.36700898335386e-05
48315,2.363580004337293e-05
48316,2.3592612623621337e-05
48317,2.35435840025987e-05
48318,2.3492124517451398e-05
48319,2.3431238815367533e-05
48320,2.3356949334262573e-05
48321,2.327865008422484e-05
48322,2.3205766756798e-05
48323,2.3132327024311342e-05
48324,2.304850988308563e-05
48325,2.2954667595686253e-05
48326,2.2851945637428997e-05
48327,2.2738354428875302e-05
48328,2.261350993824361e-05
48329,2.247663655000562e-05
48330,2.232589413640143e-05
48331,2.2160777458308504e-05
48332,2.1983698134020245e-05
48333,2.179916775636059e-05
48334,2.1609694877770453e-05
48335,2.141908138122839e-05
48336,2.1237845472469345e-05
48337,2.1069869875703794e-05
48338,2.0905428257316596e-05
48339,2.0734854938570295e-05
48340,2.0554253500241642e-05
48341,2.0367461763976326e-05
48342,2.018852519988846e-05
48343,2.0029278300596483e-05
48344,1.9882474882837037e-05
48345,1.9735421897836227e-05
48346,1.9589144622863315e-05
48347,1.944606428110533e-05
48348,1.9302498642166867e-05
48349,1.916069508298433e-05
48350,1.903918195586778e-05
48351,1.8956791536923492e-05
48352,1.890917578602156e-05
48353,1.8876752924768567e-05
48354,1.884489437865375e-05
48355,1.880934695417759e-05
48356,1.876929482717986e-05
48357,1.872113355359324e-05
48358,1.8660492211161675e-05
48359,1.8586070684333042e-05
48360,1.8499851573168095e-05
48361,1.8408371569620952e-05
48362,1.831959735290447e-05
48363,1.8232288953134475e-05
48364,1.8138030622001176e-05
48365,1.8037779058932888e-05
48366,1.794298569862865e-05
48367,1.786083377281778e-05
48368,1.7791766247081664e-05
48369,1.773494143837899e-05
48370,1.768491922957499e-05
48371,1.7632830937944164e-05
48372,1.7577247275234253e-05
48373,1.752501034442909e-05
48374,1.748086312297631e-05
48375,1.74428833020462e-05
48376,1.7407455072338534e-05
48377,1.7375274544276828e-05
48378,1.73495957108236e-05
48379,1.732843593718758e-05
48380,1.730360751963773e-05
48381,1.7268105030459056e-05
48382,1.7219537490757674e-05
48383,1.7159044695298524e-05
48384,1.709035940911257e-05
48385,1.7016840997364723e-05
48386,1.693966348664661e-05
48387,1.686030331427588e-05
48388,1.678441530452593e-05
48389,1.6721432844198778e-05
48390,1.6678580479358437e-05
48391,1.6658269579811736e-05
48392,1.666276545093688e-05
48393,1.6695505256982685e-05
48394,1.6755096697224604e-05
48395,1.6834637201076525e-05
48396,1.692845664484842e-05
48397,1.7032706369456734e-05
48398,1.714039169635397e-05
48399,1.7242080367848046e-05
48400,1.7330191483584517e-05
48401,1.7403494524743982e-05
48402,1.746732317201693e-05
48403,1.7526063307468108e-05
48404,1.7581570951676816e-05
48405,1.763714809700101e-05
48406,1.769507684786043e-05
48407,1.7754569226536352e-05
48408,1.7816288523557537e-05
48409,1.7884311921639753e-05
48410,1.7961203570566375e-05
48411,1.804397669496753e-05
48412,1.812543436258045e-05
48413,1.8198378336582316e-05
48414,1.8259529092162947e-05
48415,1.8310536161506932e-05
48416,1.8355118147892104e-05
48417,1.839595764980575e-05
48418,1.8434147932257335e-05
48419,1.846839415497737e-05
48420,1.8494533451539967e-05
48421,1.8509460111972867e-05
48422,1.851470010035112e-05
48423,1.851269588619677e-05
48424,1.8501133207866854e-05
48425,1.847784356355948e-05
48426,1.844722720418262e-05
48427,1.8414503002247978e-05
48428,1.8380830849650212e-05
48429,1.8344272066880512e-05
48430,1.830135171214977e-05
48431,1.825032004364971e-05
48432,1.8193121631116403e-05
48433,1.8133340635108022e-05
48434,1.8072462041955588e-05
48435,1.8008115963672832e-05
48436,1.793633574125404e-05
48437,1.7856639311583954e-05
48438,1.777284387027684e-05
48439,1.768659393746548e-05
48440,1.7594697645682727e-05
